iter	RMSE
0	0.7879129287
1	0.7834372197
2	0.7787598381
3	0.7745885064
4	0.7700606138
5	0.7656008685
6	0.7610370707
7	0.7571027061
8	0.7528642046
9	0.748957374
10	0.7448063713
11	0.7406018315
12	0.7362227659
13	0.7323620392
14	0.7277719483
15	0.7237192308
16	0.7200669244
17	0.7162139977
18	0.7123133374
19	0.70849152
20	0.7046406212
21	0.7009973795
22	0.6974153411
23	0.6935904439
24	0.6895736856
25	0.6857222602
26	0.6818162829
27	0.6780289777
28	0.6745092044
29	0.6716528505
30	0.6676825154
31	0.6642788129
32	0.6612268313
33	0.6582408492
34	0.6547907221
35	0.6513122578
36	0.6478653321
37	0.6448407395
38	0.6419043252
39	0.6384639565
40	0.6354540419
41	0.632602674
42	0.6294029607
43	0.626443603
44	0.6231289739
45	0.6204762443
46	0.617836864
47	0.6149028455
48	0.6117919941
49	0.6089933715
50	0.6062548317
51	0.6034506976
52	0.6006893606
53	0.5979920527
54	0.5954112208
55	0.592737785
56	0.5902592884
57	0.5877991035
58	0.5850586611
59	0.5824514692
60	0.5796711497
61	0.5770019121
62	0.5742392577
63	0.5717222446
64	0.5693666381
65	0.5667680353
66	0.5641216105
67	0.5616121478
68	0.559109612
69	0.556560791
70	0.5542413641
71	0.5520639294
72	0.549761017
73	0.5473952984
74	0.5452362046
75	0.5432265703
76	0.5407630497
77	0.5384232002
78	0.5362367708
79	0.5343795674
80	0.5323256064
81	0.5301943293
82	0.5280799305
83	0.5260606555
84	0.5235038275
85	0.5215537318
86	0.5193842068
87	0.5170620566
88	0.5149491739
89	0.5124143318
90	0.5106126004
91	0.5084453419
92	0.5060643268
93	0.5037840645
94	0.5017238081
95	0.4999120372
96	0.4982795139
97	0.496394655
98	0.4945127063
99	0.4927261753
100	0.4909917069
101	0.4893491819
102	0.4877483032
103	0.4857274742
104	0.4839284149
105	0.4819992963
106	0.4802646618
107	0.4785645471
108	0.4766144016
109	0.4750173173
110	0.473462374
111	0.4721489774
112	0.4707180529
113	0.4688761443
114	0.4675071665
115	0.4660096153
116	0.4642204555
117	0.4626478886
118	0.461320924
119	0.4598738572
120	0.4583510432
121	0.4568947315
122	0.4554271559
123	0.4534293333
124	0.4517937082
125	0.4497888519
126	0.44801733
127	0.4463587004
128	0.44502623
129	0.443690971
130	0.4423479377
131	0.4407214663
132	0.4392503644
133	0.4375838278
134	0.4362981881
135	0.4346810911
136	0.4335374129
137	0.4321762638
138	0.4308965484
139	0.429402691
140	0.4279958158
141	0.4268582914
142	0.4255855001
143	0.423632038
144	0.4223948295
145	0.4210798088
146	0.4200228009
147	0.418608152
148	0.4172435719
149	0.4153573553
150	0.4141755424
151	0.4130333511
152	0.4119673424
153	0.4103816877
154	0.4089346873
155	0.408060508
156	0.4064075406
157	0.4051340264
158	0.4033466174
159	0.4020203565
160	0.4008034744
161	0.3993023199
162	0.3982909413
163	0.396874109
164	0.3957548374
165	0.3946953178
166	0.3936371426
167	0.3923355102
168	0.3912606696
169	0.3903106416
170	0.3891761858
171	0.3879004623
172	0.3863110621
173	0.3848539639
174	0.3839303537
175	0.382869917
176	0.3816368894
177	0.3808781858
178	0.3794930037
179	0.3782738833
180	0.3765494984
181	0.3756902172
182	0.3741364999
183	0.3726717372
184	0.3718423807
185	0.3704444984
186	0.3696826705
187	0.3682036909
188	0.367314124
189	0.3657944045
190	0.3650304951
191	0.3637513156
192	0.3629343125
193	0.3621996188
194	0.3612686114
195	0.3605876493
196	0.3599245681
197	0.3586048609
198	0.3573338182
199	0.3558697889
200	0.3545600952
201	0.3537180775
202	0.3524153714
203	0.3511391576
204	0.3503298141
205	0.349060925
206	0.3480452539
207	0.3471936266
208	0.3464323553
209	0.3454876744
210	0.3443815312
211	0.3431950773
212	0.3417214798
213	0.340793029
214	0.3399190408
215	0.3390647724
216	0.3382736027
217	0.3373615278
218	0.3366127151
219	0.3358131682
220	0.3345947671
221	0.3336330337
222	0.3322967289
223	0.3313808508
224	0.3302703522
225	0.3294128884
226	0.3287338925
227	0.3282333617
228	0.32704262
229	0.3258372071
230	0.325131912
231	0.3243511515
232	0.3236726018
233	0.3225503777
234	0.321777586
235	0.3212208298
236	0.3202416784
237	0.3195419361
238	0.3185230739
239	0.3175700904
240	0.3170287462
241	0.3164590726
242	0.3156922467
243	0.3146574071
244	0.3137077152
245	0.3127916728
246	0.3122541276
247	0.3117266994
248	0.3109345842
249	0.309763641
250	0.3092597732
251	0.308622213
252	0.3081289892
253	0.3074553212
254	0.3066295499
255	0.3054947891
256	0.3046379777
257	0.3035092966
258	0.3029433638
259	0.3019543228
260	0.3010995704
261	0.3000207789
262	0.2991597538
263	0.2980821662
264	0.2974648906
265	0.2967648362
266	0.2960925599
267	0.2956609454
268	0.2951669104
269	0.2945180748
270	0.293895931
271	0.2934019859
272	0.2928654711
273	0.2920448793
274	0.2910530688
275	0.290236913
276	0.2898304669
277	0.2890259988
278	0.2882024022
279	0.2877185896
280	0.2869394401
281	0.2862131237
282	0.2857118353
283	0.2849837105
284	0.2845137588
285	0.2841114961
286	0.2834489443
287	0.2830554119
288	0.2824647013
289	0.2817806523
290	0.2811441809
291	0.2803620526
292	0.2800160991
293	0.2795515744
294	0.2791300808
295	0.2785308176
296	0.2780369236
297	0.2773652079
298	0.2766218755
299	0.2761603351
300	0.2754825584
301	0.2750842696
302	0.2745833716
303	0.2741220408
304	0.2733906502
305	0.2727709676
306	0.2719196335
307	0.2714142421
308	0.2709413748
309	0.2702414227
310	0.2698020296
311	0.2693467383
312	0.2687214524
313	0.2681541811
314	0.2675793699
315	0.2669808269
316	0.2667306039
317	0.2661032858
318	0.2657287754
319	0.2649922917
320	0.2645097352
321	0.2636806467
322	0.2631325462
323	0.2623947676
324	0.2620640135
325	0.2614853984
326	0.2607307971
327	0.2599446231
328	0.2592257333
329	0.25878168
330	0.2584041502
331	0.2580241498
332	0.257540528
333	0.2570873248
334	0.2567675111
335	0.2564120522
336	0.2558889977
337	0.2550927562
338	0.2546521604
339	0.2543571857
340	0.2539392544
341	0.2533032493
342	0.252915287
343	0.2525722602
344	0.2518528651
345	0.2511636914
346	0.2507205167
347	0.2500972835
348	0.2497788519
349	0.2492667937
350	0.2485656456
351	0.2482466152
352	0.2478274578
353	0.2474045744
354	0.2468424425
355	0.246252632
356	0.2459743651
357	0.2456943508
358	0.2454138036
359	0.2447687447
360	0.2444004608
361	0.2437392023
362	0.2433788516
363	0.2427615772
364	0.2423556049
365	0.2420753724
366	0.2415465312
367	0.2412323773
368	0.2409556325
369	0.2404171396
370	0.2399722284
371	0.2396627188
372	0.2393612764
373	0.2390096098
374	0.2385534119
375	0.2382418922
376	0.2377361408
377	0.2370900471
378	0.2368630174
379	0.2363566833
380	0.2361316963
381	0.2357713301
382	0.2354586028
383	0.2351014148
384	0.2347773847
385	0.2345788967
386	0.2342203659
387	0.2338494318
388	0.233517648
389	0.2331163979
390	0.2329030814
391	0.2323215947
392	0.2319086139
393	0.2316473619
394	0.2312029738
395	0.2308271283
396	0.2305881443
397	0.2302630541
398	0.2299783476
399	0.2297575471
400	0.2291178722
401	0.2287913264
402	0.2285014844
403	0.2282039455
404	0.2279280378
405	0.2273573012
406	0.2271241087
407	0.2269076839
408	0.22677999
409	0.2261605514
410	0.2256858524
411	0.2250993384
412	0.2248458727
413	0.2243199611
414	0.2240051329
415	0.2235137326
416	0.2229683482
417	0.22278324
418	0.2224776916
419	0.222240927
420	0.2218627218
421	0.2215402739
422	0.2213015378
423	0.221034599
424	0.2204616383
425	0.2202519463
426	0.2198832714
427	0.2197371712
428	0.2194763748
429	0.2191503762
430	0.2185910618
431	0.2182290281
432	0.2180013635
433	0.217832924
434	0.2174912375
435	0.2169781762
436	0.2166528668
437	0.2165052155
438	0.2160246755
439	0.2155563878
440	0.2151919615
441	0.2147966963
442	0.214314193
443	0.2141367448
444	0.2137814569
445	0.2136336654
446	0.2134353469
447	0.2132780441
448	0.212779117
449	0.2126470534
450	0.2123820667
451	0.2121497838
452	0.2119648206
453	0.211800973
454	0.2113633105
455	0.210952481
456	0.2107559069
457	0.2105204671
458	0.210112513
459	0.2098201381
460	0.2096339649
461	0.2093729653
462	0.2091128144
463	0.2089485756
464	0.2086632624
465	0.2084848319
466	0.2081471569
467	0.207969577
468	0.2077837711
469	0.2076134463
470	0.2074289818
471	0.2072146463
472	0.207046575
473	0.2069051791
474	0.2065592084
475	0.2062694933
476	0.2060925237
477	0.2057233673
478	0.2055730862
479	0.2052110086
480	0.2049249305
481	0.2045823924
482	0.2044177278
483	0.2039530851
484	0.2037809747
485	0.2035283977
486	0.2031446122
487	0.2030014022
488	0.2028271781
489	0.2024478272
490	0.2021481528
491	0.2018251681
492	0.2014518516
493	0.2013211926
494	0.2011317884
495	0.2009478816
496	0.2006946913
497	0.2004817887
498	0.2002905538
499	0.1999914866
500	0.1997835387
501	0.1995645319
502	0.1991930424
503	0.1990150736
