iter	Passed	Remaining
0	6	6729
1	13	6599
2	18	6293
3	24	6192
4	31	6277
5	37	6227
6	43	6168
7	49	6106
8	54	5959
9	59	5935
10	65	5898
11	71	5888
12	75	5732
13	80	5677
14	85	5615
15	90	5583
16	96	5566
17	100	5495
18	105	5439
19	110	5430
20	117	5464
21	122	5464
22	127	5436
23	133	5430
24	138	5406
25	144	5400
26	149	5394
27	154	5364
28	159	5350
29	164	5327
30	170	5320
31	175	5316
32	181	5326
33	186	5287
34	191	5282
35	196	5265
36	201	5243
37	206	5221
38	211	5207
39	216	5204
40	222	5204
41	228	5208
42	232	5184
43	237	5160
44	243	5160
45	248	5154
46	254	5153
47	259	5145
48	264	5141
49	270	5132
50	275	5121
51	279	5100
52	284	5090
53	290	5087
54	294	5066
55	300	5065
56	305	5059
57	311	5058
58	316	5051
59	322	5046
60	327	5045
61	333	5040
62	338	5040
63	344	5037
64	350	5034
65	355	5030
66	360	5017
67	365	5008
68	370	5001
69	376	4995
70	380	4982
71	386	4976
72	391	4971
73	397	4968
74	403	4972
75	409	4974
76	416	4989
77	421	4986
78	426	4974
79	431	4967
80	436	4953
81	442	4951
82	448	4953
83	453	4941
84	458	4938
85	463	4927
86	469	4924
87	474	4920
88	480	4914
89	485	4911
90	491	4905
91	496	4899
92	501	4891
93	506	4884
94	511	4876
95	517	4871
96	522	4864
97	527	4858
98	531	4841
99	535	4818
100	540	4812
101	546	4814
102	551	4806
103	557	4803
104	562	4794
105	567	4789
106	573	4784
107	578	4779
108	583	4770
109	588	4760
110	593	4757
111	599	4752
112	604	4748
113	610	4741
114	615	4733
115	620	4728
116	625	4722
117	631	4717
118	636	4713
119	641	4706
120	646	4695
121	651	4688
122	656	4683
123	661	4671
124	666	4665
125	671	4659
126	677	4656
127	682	4646
128	687	4642
129	692	4632
130	697	4629
131	703	4624
132	706	4602
133	711	4597
134	717	4596
135	722	4593
136	727	4584
137	733	4579
138	737	4565
139	742	4563
140	747	4555
141	752	4549
142	759	4550
143	764	4547
144	771	4547
145	776	4544
146	782	4537
147	787	4535
148	792	4525
149	797	4517
150	803	4517
151	808	4511
152	813	4504
153	820	4507
154	825	4499
155	830	4491
156	837	4496
157	842	4488
158	848	4487
159	854	4483
160	859	4478
161	864	4474
162	870	4467
163	876	4467
164	881	4459
165	887	4457
